1080000 0 0 300 300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 3162 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 3162 3162 3000 5000 5000 5000 5000 5000 4999 5000 5000 3000
2114000 0 0 100 600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 5000 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 4123 4000 4000 3162 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 3162 5000
3133000 0 0 300 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 3162 3162 1414 1414 1414 2236 2236 3162 5000 3162 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 3162 3000
4171000 0 0 400 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2000 2000 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 3605 3605 2236 2236 2000 2000 2000 2000 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 3605 2236 2236 2236 2000 2000
5181000 0 0 700 300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 3162 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 3162 3000 3000 3162 3162 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 3162 3162 3000
6195000 0 0 1000 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2000 2000 2236 2236 2236 3605 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 2000 2000 2000 2000 2236 2236 3605 3605 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 2000 2000
7207000 0 0 900 700 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 3162 2236 1414 1414 1414 3162 3162 3162 3000 3162 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 3162 3162 3000
8204000 0 0 1200 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4000 4123 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 3605 3605 2236 2236 2000 2000 2000 2000 2236 2236 5000 4999 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 3162 4000
9219000 0 0 1300 1300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 3162 2236 2236 2236 5000 4999 5000 5000 5000 4999 5000 4999 5000 5000 5000 4999 5000 5000 4999 5000 4999 2236 2236 2236 3162 3000 3162 3162 3162 5000 2236 2236 2236 3162 5000
10220000 0 0 1300 900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 3162 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 4999 5000 5000 4999 2236 1414 1414 1414 2236 3162 5000 3162 2236 2236 1414 1414 1414 2236 3162 5000
11213000 0 0 900 800 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2000 2000 2236 2236 2236 3605 1000 1000 1000 1000 1000 1000 3605 3605 2236 2236 2000 2000 2000 2000 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 2000 2000
12199000 0 0 1100 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 3162 3000 3000 3162 3162 1414 1414 1414 2236 3162 3000 3162 3162 3162 1414 1414 1414 1000 1000 1000
13201000 0 0 800 300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1414 1414 1414 2236 2236 2000 2000 2000 2236 2236 2236 3605 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 4123 4000 3162 2236 2236 1414 1414 1414 1000 1000 1000
14196000 0 0 500 500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 3162 3162 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 3162 3162 3000 3162 2236 2236 1414 1414 1414 2236 3162 3000
15199000 0 0 300 800 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4000 4123 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 2000 2000 2000 2000 2236 2236 3605 3605 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 3162 4000
16198000 0 0 100 700 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 3162 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 3162 3162 3000 3000 3162 2236 1414 1414 1414 1000 1000 1000 1000 1000 1000 1414 1414 1414 2236 3162 5000
17185000 0 0 100 200 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 5000 5000 5000 5000 3605 3162 3162 3162 3000 3162 3162 3605 3605 2236 2236 3162 5000 5000 3162 2236 1414 1414 1414 5000 5000 5000 5000 5000 5000 5000 5000 4999 5000 5000 5000
